Shloka Number,Text
209,"सोऽपि शशिवाम्भवी यासां
दर्शने प्रणयिनीनां कोपास्कम् करोत्येव कुन्दशिखाकपायगण्डस्थलं
चंदनम्"
210,"दि पहुम्मि अवलाण ताण आविद्ध-चंदण-कसाओ |
वसिओ अंगेसु समेत पीण-कण कन्युरो सेओ"
211,"दृष्टिः सचन्दनेषु
आरोपितरोचनेषु रमणीनाम् | तस्य निषण्णा पुण्याहरजतपात्रेष्विव
मुखेषु"
212,"समरेषु खड्गधारागतया प्रतिप्रेर्य रिपुखगम्| दृष्टः श्रिया
त्वं नीलमणिकपाटान्तरेणेव"
213,"सदा सुभटासिनिवासा संक्रान्ता-
यसमलेव श्यामायते या दोषरता सा केवलं स्फुरति त्वयि निर्मला
लक्ष्मीः"
214,"तव जातमत्सरेणेव नरेन्द्र उदकुटिना ललाटेन |
सकलललाटान्येव स्थापितानि प्रणाममागें"
215,"पुरतः पुरतो युष्मार्थिकटेर्भूमिपालः|
विपरीतामस्वरूप इवैष परिवर्धितो वंशः"
216,"शोभते नरेन्द्र परिणतो
मार्गार्पितदण्डप्रापितस्थामा श्रीसुन्दर्याः पार्श्वे तब धर्मः सविद इव"
217,"दीहर-पव-मूलं लच्छी पास ट्टिमा जसुम्बा |
कंचण दंडं पिव धवल चामरं तुज्झ धारे"
218,"विधवायमानवधूसमूहप्रति-
भग्नबलयराशिनिभा | तब यशःकूटोत्कराः दिशासु सकलासु दृश्यन्ते"
219,"स्मरामः असिं तव संगरस्फुरन्मात मौक्तिकमयूखम् |
धाराजलीप्तविसमिव श्रियाः प्रियगेहनलिन्याः"
220,"भीतपरित्राणमयीं
प्रतिज्ञामसेस्तवारूढस्य मन्ये शङ्काविधुरे न वैरिवर्गेऽप्यवकाशः"
221,"३६
गउढबहो
||
दारिअ-रिज-गअ-मअ-सुरहिणि ति णिधं चला वि भमरि व्व |
स्वग्ग-लआए णिवस फरुसाऍ वि तुज्झ राज सिरी ||
कोऊहलेण आहव-पलोइआ गारवीपिअ करेण |
पट्टीओ परामुद्रा तुमाइ पणआण बेरीण"
222,"२२१ ||
म्युध्यते जयवारणकुम्भविभेदक्षमे तवासी | प्रतिदिवस मुक्ताकोशसंचया-
शयेव श्रिया"
223,"स नास्त्येवेह यी नरेन्द्र नेक्षते ललाटप कः |
अक्षिभ्यां करुणामयान ननु वारिविन्दून"
224,"तणघणं व धरिआ लच्छी बच्छत्थले महु-महेण |
भिच्चत्थि बंधवेसुं ण उण विहत्ता जह तुमाइ || wil
अहवा |
उप्प अणाअर-संपिंडि अंग-गिरि णिवह गारवोणमिश्रं |
सय्याअरबो जाअं सेसस्स महि वेडं"
225,"पक्षान्तरालपरिवर्तनारविमण्डला नमस्तले|
भवन्ति अनागतसंगत कुलिशा इव शैलसंघाताः"
226,"३७
'
मारुतभ्रियमाणकन्दरगौरवपरिमन्थरमारोहन्ति | वेगविकसत्पाद-
पस्थगितकटकान्तरा गिरयः"
227,"आरोहन्ति नभस्तलं तारोयी-
तितगुहामुखाभोगाः | अन्योन्यपक्षा निलहियमाणविसंष्टुलाः शैलाः"
228,"मुक्ततुषारासारं लीलोडीने तुहिनशैले |
वेपते अकस्मादागतहिमकालक्कान्ती लोकः"
229,"उत्पतनरुद्धगगना
दूराद्गमनिर्वर्तमानन भोलघवः सूचयन्ति मूलाल्पं खं अग्रविकटमिव
धरणिधराः"
230,"दूरतरमुत्पतिता अर्धपथास्तमितनिर्झरतुषाराः |
दृश्यन्ते विकटलघवः प्रणष्टकाया महागिरयः"
231,"जं जं समुपता मुअंति सेला जहंगणुद्देसं |
तं तं पुंजिअ चहलो भरे मुहलुब्धडो पवणो"
232,"पार्श्वपसरत्तलमार्गघटितक्रमलघुमांसलच्छायाः उड़ीयन्ते पक्ष-
विगलितदिग्गजदाननिर्झरा गिरयः"
233,"एंति गणोसरंतेसु कह वि उम्मुह समीर हीरंता |
थोउपभइ-निविडा सेलेसु विहंग संघा"
234,"अवतरणविशेष्यमाणरविकरालोकच अलच्छायाः | दृश्यन्ते
प्रविरला इव वेगोर्ध्वदला वनात्यः"
235,"इति येन नमोऽगणगोचराणां
स्खण्डिताः पक्षमालाः शैलानां सोऽपि तं चिन्तयित्वा आन्दोलयति
महेन्द्रः"
236,"अनुधारं संलग्नेभमौक्तिकं तवासी दृष्टा लीलेपद्दर्शित-
हारमात्रप्रकटेव जयलक्ष्मीः"
237,"अयशसा रिपोः करम्बिता:
कीर्तयस्तव धार्यन्ते | कुवलयदलसंवलिता मालतीमाला इव दिशाभिः"
238,"प्रतिबद्धं केवलं त्वया नरेन्द्रचक्रं प्रतापविकटमपि ग्रहवलयम-
नुत्क्षिप्त ध्रुव इव परिवर्तते नरेन्द्र"
239,"३९
समरे करे विस्फुरति केवलमेकोऽसिस्तवैव | यः प्राप्नोति निजयशः-
सोममण्डले लाञ्छनच्छायाम्"
240,"शपामहे अनर्जुनमिमं अम-
हेन्द्रमवासुकिं चात्मानम् | सेवालिदर्शनगुणकथासु तब यो न पर्याप्तः"
241,"निपतति पतनसमुच्छलितज्वलनकणजाल जटिलधाराम्रः |
विमुखग्रहमण्डलाकृष्ट इव खड्गस्तव रिपुषु"
242,"तुह परिवक्वेस भया कत्थ वि अविलासमावते |
आरोवे ण काअर-गणणाऍ व चावमसमसरो"
243,"युग्मम्
पद्मभृतोदद्भिन्नविरसतृणजटिलिते कपालं जातः अहो स्निग्धः
कवरीवन्धस्य परिणाहः"
244,"शोभते समागमेषु
अहितप्रतापप्रदीपमालासु | व्यापारयन्ती कर्णोत्पलामिव ख तव
जयलक्ष्मीः"
245,"यद् इतरोपद्रवविता अपि मज्जन्ति तव रिपवो
नाथ| बहुरूपास्ता धाराः केवलं तब मण्डलाम्रस्य"
246,"प्रणयिजनार्थमामुद्धति कनकमेतदिह स्थिता लक्ष्मीः कवचापतिता
असेस्तव निर्यन्ति नामी शिखिस्फुलिङ्गाः"
247,"कोपेनेव कृतकम्पं
रभसोर्ध्वपरिष्ठितया घटितानि तव तर्जन्या कार्याणि चण्डभुजदण्डवत्या"
248,"आरूढः पार्श्वक्रमेण तथा त्वमसि उपरि लोकस्य | एकश्च स
यथा वोऽण्डकबन्धायते मौलिः"
249,"बाहुशिखरेषु दृश्यते कामिनी-
संक्रामितेन मतिलकः | भूभारोद्रहनवशात् परिठितः परकलेश इव"
250,"वप्रभ्रमणशीललक्ष्मीचरणालक्तक निभस्त्वयि स्फुरति |
अवतंसारुणमणिमनरीभवो रागसमूहः"
251,"भवन्ति कृतार्थाः
प्रणयिनो नखमालाचरण रोहणे तव | आताम्रमणिगुहा इव विष्वा प्रणाम-
संक्रान्ताः"
252,"अल्लीणा रहसागम-परिवत्ति केससुअ-धर व्व |
कवअ-दलणुगआणल-सिंह-च्छला वो असिं लच्छी"
253,"४१
इति यः स्तूयते प्रहर्षपूरपरिस्खलित विषमकण्ठैः | वन्दिभिः कर्बान्देश्व
भृतार्थैरेव गुणैः"
254,"इति चाटुचतुरचारणसंचारितचन्द्र चारुचरितेन |
नगराक्षरवरेन्द्रेण निर्गतं निर्गतयशसा"
255,"जयपथमानस्य शरीर-
चारिणो गर्भवसतिगेहेषु येषां परिवर्तनेनेव आवर्तगतयो निर्वृत्ताः"
256,"ये कुङ्कुमस्थलीषु केसरभङ्गारुणैर्दर्शयन्ति | पतिपरिभोगमिव
मह्या नवनखाङ्कं खुरपदैः"
257,"ये प्रोथक्षणपरिष्ठित संस्त्यानफेनपिण्ड-
घटितैः | षारः पूरितप्रयाणशखा इव दृश्यन्ते"
258,"आयानमर-
कलच्छविसमूहाढम्बरेण मुखन्ति | ये वालयवरसमिव शीघ्रं पीतमगैः"
259,"दत्ता प्रणाल्य इव श्रमवारिविनिर्गमाय धारयन्ति | परिच्छिन्न-
मध्यरेखानिभेन ये जघनबन्धेन"
260,"मार्गेषु गुरुबलाद्वेगनिपतत्कोटकै उच्चार्येव लिखन्ति जे टकारान
खुरपुटैः"
261,"ये अद्यापि हिमशैलान्तसंभवात् अनधशीतवेदना इव |
गुरुतेजःप्रसररसाः स्थान एव किमपि कम्पन्ते"
262,"आरुढयोध
निवहास्ते तस्य तरङ्गिणो जयतुरंगाः सूचयन्तीव प्रहर्ष याताः पुरतो
नरेन्द्रस्य"
263,"अवि अ |
उवहाणं पिव लीला बलिअ डिअ-पिहु-करतणा देति |
जे विअड-दंत-पक-अ-णिवेसाऍ लच्छी ए"
264,"दीसंति जाण परिअत्त-चलण-दलिआरि-सीस-भावेण |
अज्ज वि कवाल सअल ब्व पास-खुत्ता गह क्खंडा"
265,"२६४ || असरललीलागतिर्विगखिताभियें तिसृभिर्दान-
धाराभिः | राजश्रियो रचयन्तीय विलासवेणीलतां सुरभिम्"
266,"पावकुतानां ये प्रतिगजानां निमग्नदन्तभावेन विभ्रममृणालदण्डः
रुधिरसलिलमिव पिवन्ति"
267,"४३
ये चञ्चलचामरपश्मलैः शोभन्ते कर्णतालः | उत्पतनतरलपक्षा इव
त्रिदशगजयुद्धबुद्धचा"
268,"सूत्रनिवेशमिव ददति दीर्घ दानवारि-
धाराभिः | प्रतिवासरं प्रविस्तारिण्या ये पार्थिवश्रियः"
269,"ते तस्य
जयगजेन्द्राः सितपिष्टान्तरितश्यामलच्छायाः | शरदपनीतकलुषा जाताः
पुरतो जलधरा इव"
270,"अनन्तरं स्तोकस्तोकं राजन्ते निशीथमुखरक-
लहंसाः दरदूनारविन्दा असारसूर्यातपा दिवसाः"
271,"कासारविरलकुमुदा अमृदितविच्छायचन्द्रपरिवेषाः |
भवन्ति बहलावश्यायाः प्रभातशिशिरा निशावन्धाः"
272,"घूर्णते-
लब्धकिरणस्तुषारलबलम्भधूसरच्छायः | रवेरलम्बुषाकुसुमपाटलो बिम्ब-
परिणाहः"
273,"इह उद्वेलति दरपीतसलिलपरिश्यामलोदरार्धान्ता पर्यन्तधव-
लगजकर्णकर्बुरा मेघसंहतिः"
274,"कं वा न हरन्ति निविडा-
वश्यायसंभिन्नश्यामलकरीषाः | गोधनविनिवेशोदेशधूसरारण्यपर्यन्ताः"
275,"आकान्तकरीषष्मासुखनिष्कम्वजघनं विनिष्कामति | कथमपि
जडातपपरिभोगमन्थरं रोहिणी यूथम्"
276,"इति हेमन्तसमृद्धासु
ग्रामसीमसु मेदिनीनाथः दृष्टिं ददव प्राप्तः क्रमेण शोणास्कमुदेशम"
277,"सृदिताः पूगफल कोशपतन रज्यमानपल्वलास्तस्य | सेनाभटैन-
वशालिशालिनो ग्रामसीमन्ताः"
278,"मत्तकुररासु दृष्टिः शफरीब-
स्फुरणकम्पितजलासु विश्राम्यतीय वञ्जुलिनीषु तेषामाधारलेखा"
279,"तेषां निशाम्यति हृदयमनाविलाधारसलिलसुभगासु आम-
जरीपरिग्रह सुगन्धकलमासु सीमसु"
280,"४५
सगोद्वर्तिततुरंगम स्कन्धकेसरसमूहः | उन्मुखधुरं समारोहति यत्र
रवे रथः कथमपि"
281,"वहिर्गतानां यस्य च नास्त्येव नभस्तलमिति
प्रतिपत्तिः | कन्दरपरिष्ठितानां च स एव नास्तीति प्रतिभाति"
282,"बहुकुहराविलकटकत्वेन नभोमहीतलान्तरनिवेशः गृहीत्वेव वसुधार्थं यो
गगनार्ध च निर्मितः"
283,"येन नभोगतशिखरेण कुहर प्रसृतन भोऽङ्गनेन
च| अन्योन्यं कीलितनिश्चल इव नभोमहीतलात्सङ्गः"
284,"विन्ध्ये
तस्मिन् रससुरभिसकी भगनिर्वृतगजे रोहनिरन्तरतालीवने यातो
महीनाथः"
285,"वन्दीकृतमहिषासुर कुलकण्ठोन्मोचितैरिव त्वया |
माधवि घण्टादामभिर्मण्डितं तोरणद्वारम्"
286,"दृष्टं साहाय्यारुढ
तुहिनगिरिखण्डदत्तपीठमिव महिषासुरस्य शीर्ष तव चरणनखप्रभा-
भरितम्"
287,"न चलति नवाम्बुधौतमपि पल्वले विरलमुखकृतोच्छ्वासम् | मीनकुलं
शफरान्त रपरिसंगतपकगुर्वङ्गम्"
288,"ननु तव स्मरणे रणे विघटन्ते
वारणघटाः | दूरादेव वाहनमृगेन्द्ररवविद॒ता इव"
289,"तव चण्डि
चरणकमलानुवर्तिनः कथं नु संयम्यन्ते सैरिभवधशङ्कितमहिपहियमाणे-
नेव यमेन"
290,"तुहिनगिरिदेवि त्वया जनकभावन गौरवं नीतः |
विन्ध्याचलोऽपि कन्दरनिवासलीलया कल्याणि"
291,"नारायणि रणनशीलनूपुरारावमिलितहंसकुले | भवने कपालाविलक्ष्म
शानरागेणेव भ्रमन्ती"
292,"अर्धेन शरीर एव केवलं शशिशेखरस्य
त्वं वससि | हृदये पुनस्तस्य शंकरि तयाविभागेनावकाशः"
293,"स्खलितं त्वया रभसोत्क्षिप्तमणितुला को टिकुण्डलाभरणम् शूदां भग
स्थापितवलयवन्धमिव महिषस्य"
294,"४७
तव द्वारं स्थानस्थानदत्तरुधिरोपहारमाभाति| हरप्रणयरोषविश-
सितसंध्या कलावतीर्णमिव"
295,"तव वदनच्छविभिद्यमानविकटत
मोमण्डलाः सदा भवन्ति केरपि दीयमानमहामहिषा इव भगवति प्रदोषाः"
296,"निद्रारूपेण पदं निमिमीषे जनलोचनेषु त्वमेव प्रतिबोधे येन
सयावकेव लक्ष्यते दृष्टिः"
297,"प्रलयं वा कालि न निर्मापयसि रूपस्य
ते अनन्तस्य सर्वा कथं नु कपालमण्डलाडम्बरं घटताम्"
298,"स्तूयसे तत्क्षणविघटमानलो हिज्जी रश्यामलगलैः | परिणतगणभावागत-
त्रिनयनचिरिव नरेः"
299,"निमेषमपि नैव मुच्यते आयतनोपवन-
मण्डलं तव | संनिहित कुमारमयूरस्नेहर सिकैरिव शिखिभिः"
300,"पीत्वेव
उपहारादरेषु सदा धूमधूपपटलानि | उद्वमसि बहुल रजनीभावेषु निरन्तरं
तिमिरम्"
301,"प्रणतजनरक्षणान्तरितवैरिकरवालपञ्जरेणेव हारेन्द्रनील किरणा-
बलम्बिना भासि वक्षसा"
302,"यदा रजनीरूपेण स्फुरसि शशधर-
विम्वितकपाला | तदापि नरास्थिप्रसाधने तव घटते ग्रहचक्रम्"
303,"त्वं कुवलयीकुर्वती न वा दैत्यानां खड्गमालाः निजचरणपङ्कजार्थाकार्य
वः कथं नु संपद्यताम्"
304,"मालूरपत्रमालाकण्टककृतशोणिते-
वाभासि | त्वं सरसरक्तचन्दनपरिशीणस्तनान्तरा देवी"
305,"संक्रान्ता इव शेषारुणाक्षिवलयप्रभा महिषे | तब शवरि शोणित-
शिखास्त्रिशूलमार्गेषु दृश्यते"
306,"वीरवितीर्णविकोशासिधेनु-
करवालकान्तिकज्जलितम् दिवसेऽपि देवि अशककीशिकं गर्भभवनं
ते"
307,"त्वमस्तारुणरविमण्डलेन मुण्डोपहारपूर्वमिव| तारानिभकृत-
बलितण्डुलया पूज्यसे निशया"
308,"_ त्वं शोभसे सजलजीमूतगोचरा गौरि विद्भावे कंसार्पितवध्याश
लासहेब गगने समुत्पतिता"
309,"हरस्पर्शस्येदसंवलितयावकासङ्गि
नखमणिच्छायः | शोभते नतचन्द्रलेखासुरसरित्संध्य इव ते चरणः"
310,"सुलभोपहाररुधिरप्रवाहसंभावनया लिह्यन्ते| अरुणपताकाप्रति-
मागर्भाः शिला इह शिवाभिः"
311,"पूजाभिषेकविगलितललाटया-
वकरसं पिवन्तीव | रुधिरासवपरितोषास्तव पुरतो भूतप्रतिमाः"
312,"प्रत्यक्षभावतत्क्षणमीलदक्षिहतदर्शनगुणैः | त्रिदशैरपि तव निद्रात्वे रूपं न
सत्यीकृतम्"
313,"तत्कालविमुखहरवर्धितैः श्वासैस्तापसि त्वया | प्रति-
पनः प्राणायामनियमवन्धादः कथं नु"
314,"कामदहनानुतापा हरस्य
तव विभ्रमैर्निर्वर्तिताः | कुष्टललाटनयनानला इव संतापिनः श्वासाः"
315,"सदा सिद्धसिद्धिमण्डलप्रदीपपरिकम्पिनः प्रदोषेषु तयोत्सव-
गन्धसुखाः सुखयन्ति समीरणीद्वाराः"
316,"तद्भिावे स्फुरन्ती
सवारिवारिधरकूटकीटी आक्रान्तमहामहिषेव शामसे अमर्षाताम्रा"
317,"जण दिण्ण-स-कलणा-लोमस कलुसेहिं कंपमुप्पेसि |
आलेहिं व पडअगिआइरा वाउ-दंडेहिं"
318,"गंभीर-गन्भ-मंद पहाओ तुह देवि दीव-मालाओ |
उवहार-मुंड-फेसंघ आर मूढाओ व खलति"
319,"विससिज्जत महा-पसुदंसण-संभम-परोपरारूढा |
गअणेच्चित्र गंध-उडिं कुणंति तुह कडल-णारीओ"
320,"विशस्यमानमहापशुदर्शनसंभ्रमपरस्परारूढाः | गगन एवं गन्धकुटीं कुर्वन्ति
तब कीलनार्यः || ३१९ नखमणिसंक्रमणादल्पप्रणतजनलाञ्छनैश्चरणैः |
शोभसे प्रणम्यमानेव अम्य त्वं वालखिल्यैः"
321,"अह परिअरो अणे ओवरण-पहरण-सहं कर सहस्सं |
एकस्स बरोरु वरुज्जअस्स ते पाणि-कमलस्स"
322,"५१
ध्वजपटधारानिवहैर्मन्दिरं वो नवारुणाभैः | प्रतिदिवसपशुशिर-
छेदपतिमामुति रुधिरमिव"
323,"मेघायमानं तव तृतीयनयन-
शिखिधूममण्डलं शोभते वासुकिजिद्धा लभन्ते तहिताविभ्रमं यत्र"
324,"शीर्ष कृती महिषस्य देवि मरणाय या हि संपन्नः स एव जनस्य
जातस्तव चरणी मङ्गलस्थानम्"
325,"कौमारं हराराधनाय हृदये
मदनप्रज्वलित | त्वया विहिती मुग्धस्तनकर्मातूरहोम इव"
326,"अङ्गमवलम्बितालम्बिसरसनरवदनप्रकटं बहसि | अथापि कंसरफी-
टनललनिजकास्थिांशलमिव"
327,"सूचयन्ति वीरविक्रयविक्रममिह
यामिनीश्मशानेषु | अवलम्बितकुणपच्छेदपाटला शाखिशाखाः"
328,"सरसास्थिदण्डलाभेन चण्डि अधरप्रभारुणे तय जिला निजदानमख-
मण्डल एव संवलति"
329,"प्रकृतिपरिशुष्ककाया पुरतः संचरति रेवती तब इह सदा संनि
हितमहाप्रेतभयमुक्तमांसेव"
330,"पूज्यसे भिन्नभुजावितीर्णरुधिरमिव
पादपैरपि | परशुमहारविगलितकषायरसशोणशास्त्रः"
331,"अन्यो-
न्यकलहविगलितकेसरकीलालक ललितद्वाराः | कुकवाकवोऽपि तव देवि
शासनमनुसरन्तीय"
332,"उपहारतुडितमांसमण्डलाडम्बरो ङ्गदैरिव |
डिम्बं यावकपटमण्डनैः स्तम्भर्विविधत्से"
333,"अनन्तरं च वसुधाधिपजयगजेन्द्रशीकर कृताभिषेका इव जाता निदाघ-
परिणामधूसरा दिनकरमयूखाः"
334,"'शोभसे मुखमुक्तासदृशरुधिरधाराभिः रजनिरूपेषु भक्ति-
विकीर्यमाणारुणध्वजेव त्वं भवनमातृभिः"
335,"बहुलप्रदोषाः बद्धा-
कुरा इव तव देवि महिषशुमैः | प्रारोहिण इव लम्बनशीलमयूरकण्ठैः
शोभन्ते"
336,"तब लोहदर्पणावलिसंकमणालब्धकृष्णभावानीव शोभन्ते शबरयुग-
लानि मेचककायानि प्रणामेषु"
337,"रूपमेव केवलं करालदारुणं
कालरात्रिलीलायाः हृदयं पुनस्ते करुणारसेन सदा वत्सलमेव"
338,"इति विन्ध्यगुहा निलयायाः वस्त्रदलशवर शिष्टमार्गायाः | प्रभुणा सपरिकरं
भगवत्यै विहितो नमस्कारः"
339,"इहाद्यापि किं नु पुराणभावकपिशी-
कृतास्थिबन्धे | हृदयोद्देशे रोषाग्निपिङ्गिमेव विस्फुरति"
340,"तस्मिन्नेव संधिप्रस्तकीटमालाविले ललाटे हासाय भ्रुकुटिभङ्ग इव
विलिखितोऽथ कृतान्तेन"
341,"उद्यते उपदेहिका भावकुटिलवालितेन
वदनबिम्बे | मदनाधिमलयविच्छित्तिविभ्रमं संप्रति रजसा"
342,"हा
हा तदेव वंशाङ्कुरप्रियतमावाहुशयनदुर्ललितम् | उपधानीकृतवल्मीक-
मेखलं लुलति शिरःकमलम्"
343,"उद्दिनकरमिन्दुस स्थितानलं सरत्नप्रभ-
मस्य | एकपद् एवं जातमखण्डतमन्विधनं भुवनम्"
344,"हा हा कम्पयतीय हरितमलालम्बिनी
दशनमाला अद्यापि विनिष्टाने कवीटिकारसामेव वमन्ती"
345,"स्थितभ्रमरपक्षभाव| निर्वर्तितपत्रणा इव संवेगम्| कामेनास्मिन्नपि नूनं
प्रेषिता मजरीवाणाः"
346,"उद्दिणअरमिंदुसहं द्विआणलं स-रण-पहमिमस्स |
एकवएचिअ जाअं अखंड-तम-बंधणं भुवणं"
347,"इति तस्मिन
नरकलेवरदर्शनमृदृकृतमनसा नरपतिना प्रतिपन्नविवेक विकल्पसर समनु-
शोचितं सुचिरम्"
348,"अवि अ |
बहुसो बहुत-विसहर मणि-पहा-रंजिअ व ते जाण |
अंतोच्चि णिति णिवेसिअ पहा पिंच्छ-फभारा"
349,"बहुशः उपभुक्तविषधरमणिप्रभारञ्जिता हव ते
येषाम् | अन्तरेव निर्यन्ति निवेशितप्रभाः पिच्छप्राग्भारा ३४८ ||
बर्हिणां तेषां रसितं पुलिन्य केदारप्रविरलदुमेषु | नन्दयति तस्य तदनिर्झरेषु
गिरिधूमकलुषेषु"
350,"|
५५
उपयुक्तसलुकीकाण्डपाटलांचारके सरबती प्रेक्षते मातनस्थली
स यूथपदवीः"
351,"क्रियत इव तस्य तालीफल पिण्डामोटनोन्मुख करैः |
रिपुशिरःकवलनयोग्यापरिग्रहां जयगजेन्द्रः"
352,"भवलीलपुलिन्दवधू-
विरिक्तगुंजावलीकणकराला जाता अस्य रोषानलस्फुलिङ्गभृता इव
मिरिमार्गाः"
353,"कर्णस्थित शिखिपिच्छुच्छलेन कृतपत्रणा इव
सलीलम् | मुच्यन्ते शवररमणीभिर्नयनवाणा नरेन्द्रे"
354,"अथास्य
भयेन राजदानपटलकलुषितदिशातटाभोगः | मायानिर्मिततमीमुख श्व
चलिती मगधनाथः"
355,"किं च जातम् किमपि विकम्पितग्रीष्मा
अपराह्नीत्कण्ठसाठस मयूराः हरितवनराजिसुभगा उद्देशा ददत्युक्क
ण्टाम्"
356,"ऊष्मायते ग्रीष्मविधुरा बहलबुसासारलषितविमुक्ता
मलिनिततडागमूला कान्तविरलाङ्करा वसुधा"
357,"नवरोहच्छेद सुगन्धविषमवसुधाविलम्बितप्रवाहाः | घूर्णन्ते हिमरसा-
बतारशिशिरसलिला गिरिनद्यः"
358,"राजन्ते नीलवनराजिपरिकरोन्मी-
ल्यमानसौभाग्याः | अभिनवपटलपरिग्रहगीरयामा दिशाभोगाः"
359,"सायं समारुतासारखेकशाइलितकानना भवन्ति ग्रीष्म एवं जलदारम्भ-
कोमला महीधरनितम्बाः"
360,"स्रोतः कलुषा नयः पर्याप्तकदम्बगन्धिनः
पवनाः | घनडम्बरं बिना प्रावृषस्तारुण्यं गलति"
361,"गमयन्ति
ग्रीष्मनिद्रां पथिका लिङ्गाभिषेकशिशिरेषु | ऊढकदम्बार्जुनपरिमलेषु
सुरमन्दिरान्तेषु"
362,"तथा तप्तनगररच्याः शोभन्ते मेघावलम्बिरवि-
विम्बाः | धरणीपरिष्ठितग्रीष्मा नभोघूर्णनशीलमावृषी दिवसाः"
363,"णवरि अ वसुहाहिव-जय-गईद-सीअर आहिसेअ ब्व |
जाआणिआह-परिणाम-धूसरा दिनअर-मऊहा"
364,"किं च जातम् | अन्तर्गृहचिरनिर्गमननसोढालोककृणिता वलति |
निद्राविमर्दपरिलुलितसालसाताम्रा दृष्टिः"
365,"पीडिततमालपट्ट-
वशयनीयर साईनखपदं हरति | नवकेसरमाला सुरभिमेखलालकुर्त
जघनम्"
366,"तत्क्षणविक्षिप्तमृणालवलयशीतलप्रकोष्ठपरिमर्शाः |
शोभन्ते जलार्द्रा मर्दितचन्दना बाहुलतिकाः"
367,"नवकनककिङ्किणी-
निभचम्पककुसुमावनद्धमनीरम् | हरति परिकोमलोढवेषरम्यं परि-
भ्रमितम्"
368,"प्रियपरिरम्भान्मूलित नखपदपरिशेषचन्दनसुगन्धः |
राजते दलशवलकदम्वदा महारः स्तनोत्सङ्गः"
369,"स्तोकसुरामदसं-
भिन्नसर सपाटलकपोलप्रतिलम् उन्मीलति केतकीगर्भपत्रताटकलाब-
व्यम्"
370,"इति भ्रमति भवनशिखरेषु ग्रीष्मपरिणामस्तोकसंस्थामा |
विरलजलबिन्दुनिर्वापितगण्डपार्श्वः प्रियासार्थः"
371,"किं च | इह तेजोमेघ संवलनाशिशिर विच्छाय कपिशर विविम्बाः |
राजन्ते भनपवना अरेणुपरिधूसरा दिवसाः"
372,"उत्कण्ठवहिंचूडा-
विटपान्दोलनतरङ्गितो वहति अविरलजम्बुफलासारपतनमुखर इह समीरः"
373,"इह उब्वेल्ल दर-पीअ-सलिल-परिसामलोअरर्द्धता |
परंत-धवलगअ कण्ण-कब्बुरा मेह पत्थारी"
374,"इहाभिमुखमरीकार्जुनासु अवगाट-
कुटजगन्धासु वर्षासुखदासु सुनयो गमयन्ति दिवसान् गिरितटीषु"
375,"व्यूढीककुतरव चूर्णकलुषपालाश फलव्याप्ताः | इह शोभन्ते
दहवृष्टश्यामला अरण्यभूमयः"
376,"अन्वेषितव्यपवना आसारान्तेषु
समधिकोष्मवन्तः | एते ते चूतवनानां भवन्ति परिणामका दिवसाः"
377,"ऊष्मवत्कुसूलमुखोद्यरद्रजःपरुपमेदोगन्धानि आसारजडे दिवसे
नन्दन्ति कुदुम्बिगेहानि"
378,"फलसारनलिनीगहना इह दारुच्छेदप्रविरला भवन्ति | मूलस्थितशु-
ष्ककदम्बक पिशवसुधा वनादेशाः"
379,"नवकेतकीवासितकेशसंयमा
दक्षिणा नार्यः | इह तावदनादरोज्ज्वलहरिद्वारामा विराजन्ते"
380,"इह कौसुमेन चापेन यो जयति साधुना विषमाणः | लब्ध्वा पाकशासन-
शरासनं कथं न विस्फुरति"
381,"इति उत्कण्ठाप्रतिपन्नहृदयपरिकोमलाः
प्रवर्तन्ते | संलापाः कालस्वभावशंसिनः कटकलोकस्य"
382,"कंट-हिच गीअं अलद्ध-गिदं च णिजण-पमुत्तं |
सरसो कंठा-भिरस्स हिअअस्स वीसामो"
383,"कण्ठ-
निभृतं च गीतमलब्धनि च निर्जनप्रसुप्तम् सरस उत्कण्ठानिर्भरस्य
हृदयस्य विश्रामः || ३८२ | किं च जातम् | ऊष्मायमाणगिरितटं सीमा-
निर्वृत्तकन्दलीद्भेदम् | विश्राम्यति विरलधाराबन्धुरितरजस्कं धरणीपीठम्"
384,"आसारताडितानि बलाकालप्यमानचलितशफराणि| सरितो
वहन्ति संप्रति अपेयपाण्डूनि सलिलानि"
385,"आपाण्डुसलिललति शुष्कामलिनशैबल शिखाः | जलरकुदुः खल-
क्षितशफरा घूर्णन्ते सरितः"
386,"विलुलितपिशङ्गबल्लीचितानोद्देशकोमल-
फलानाम् | प्रविरलरक्षाणां श्रीविंगलति वालुङ्कीवाटानाम्"
387,"ण चलइ णवं धोअं पिपलले विरल-मुह कऊसासं |
मीण उलं सहरंतर परिसंग अ-पंक-गरुअंगं"
388,"विचरति शाइलरेखायमाण-
सुरधनुर्निवेशसुभगे | गगनस्थले गोमण्डलमिव वलयं बलाकानाम्"
389,"दीसह निरंतरुभिण्ण-हरिअ-हरि-चाव-कंदल करालं |
परिओसुप्पइअ मऊर जाल-सवलं व गणद्धं"
390,"विषन्ते निजविषा नलप्रतप्यमानाङ्गमार्गितस्पर्शम् धारा-
दूनफणमण्डला अपि फणिनो नवासारम्"
